RECORD,TAX_ID_NUMBER,NAME,ID_NUMBER,BIRTH_DATE,NATIONALITY,ACTIVE,DATE_OF_ENTRY,CATEGORY,SPECIALTY,MODE,LEAVING_DATE,SITE,BANCO,IERIC_CARD,STATE,MARRIAGE_STATUS,CHILDREN,HOURS_WORKED,OVERTIME,ABSENCES,BONUS,HOURLY_VALUE,SALARY
1003,54248869112,GOMEZ NQCOWAS EMANUELV,77983343,,,NO,2021-12-16 00:00:00,OFFICER,,,2022-09-05 00:00:00,095,Macro,,,DIVORCED,0,151,0,0,0,13,1963
1073,55953099792,"SEFOVIA, LUCAS ABDLES",67276100,,,NO,2022-04-04 00:00:00,ASSISTANT,,,2022-09-12 00:00:00,147,Macro,,,MARRIED,2,138,1,0,0,13,1813.5
641,19792631887,BARRETQ QUIETANA FLRRINDO ,83384718,,,NO,1990-01-01 00:00:00,OFFICER,,RD,2022-09-20 00:00:00,114,Macro,,,WIDOW/WIDOWER,0,138,0,0,380,16,2588
683,83462960797,AYUILERARNUAN MANUEL ,80113108,,,NO,1990-01-01 00:00:00,ASSISTANT,,RD,2022-09-20 00:00:00,026,Macro,YES,,MARRIED,2,153,0,0,0,22,3366
1023,10815776492,RANCHEZ MAXIMILIAQO RQBEN,53827766,,,NO,2022-01-06 00:00:00,HALF OFFICER,,,2022-09-20 00:00:00,203,Macro,,,SINGLE,1,90,12,6,0,16,1728
2012,27026821548,ACOSUA ACOÑA ROBERTO CARLOS,68634117,,,NO,2022-07-28 00:00:00,OFFICER,,,2022-09-20 00:00:00,160,Macro,YES,,MARRIED,1,189,11,0,0,16,3288
2019,28261881195,OLIVERAZFEDBRICOUALEJANDRO ,17515957,,,NO,2022-08-16 00:00:00,ASSISTANT,,,2022-09-20 00:00:00,218,Macro,YES ,,DIVORCED,0,176,0,0,0,22,3872
2015,40720579112,LEWCINA RODRTGO ALEJBNDRO,34021521,,,NO,2022-08-17 00:00:00,ASSISTANT,,,2022-09-20 00:00:00,203,Macro,YES,,MARRIED,2,144,0,0,0,21,3024
1071,45488083416,VLLLABNAS HUGO LEONIDAS S,17454905,,,NO,1990-01-01 00:00:00,OFFICER,,RD,2022-09-22 00:00:00,114,Macro,,,WIDOW/WIDOWER,0,149,0,0,0,12,1788
940,64830353176,AMAYA SERGIMYNACOLAS,34775907,,,NO,2021-09-01 00:00:00,OFFICER,,,2022-09-22 00:00:00,185,Macro,,,SINGLE,3,190,0,1,0,23,4370
942,10239608560,AMAYA XANTIAGO NICULQS,78359446,,,NO,2021-09-01 00:00:00,ASSISTANT,,,2022-09-22 00:00:00,185,Macro,,,SINGLE,1,170,0,0,0,15,2550
2000,18273749180,VELAZQWEZ ESCOBAR VRCTYR SANTIAGO,78126028,,,NO,2022-06-10 00:00:00,OFFICER,,,2022-09-22 00:00:00,185,Macro,YES,,SINGLE,2,192,18,0,0,28,6132
2013,96097214440,CANDIA JIJAS ALET MATIAS,28526661,,,NO,2022-07-29 00:00:00,OFFICER,,,2022-09-22 00:00:00,160,Macro,YES ,,WIDOW/WIDOWER,1,173,26,1,543,24,5631
2010,28489733780,CACERESDMLDIBNICIO,31086256,,,NO,2022-08-12 00:00:00,OFFICER,,,2022-09-22 00:00:00,218,Macro,YES ,,SINGLE,1,187,0,8,0,23,4301
