Task ID,User,Email,Billable,Start Date,Start Time,End Date,End Time,Duration (h),Duration (decimal),Billable Rate (USD),Billable Amount (USD)
413136350879301,Mary Zambrano,mary.zambrano@gmail.com,No,03/12/2023,21:05:36,03/12/2023,22:06:53,1:01:17,1.02,0,0
213510075423471,Cissy Esparza,cissy.esparza@gmail.com,No,03/12/2023,18:35:06,03/12/2023,21:31:46,2:56:40,2.94,0,0
437404962769075,Arron Wolf,arron.wolf@gmail.com,Yes,03/12/2023,17:55:27,03/12/2023,19:08:53,1:13:26,1.22,18,22.03
646440523737303,Palmira Easom,palmira.easom@gmail.com,No,03/12/2023,17:22:50,03/12/2023,18:25:00,1:02:10,1.04,0,0
750461867817310,Palmira Easom,palmira.easom@gmail.com,No,03/12/2023,17:21:02,03/12/2023,17:22:29,0:01:27,0.02,0,0
432779627359275,Justina Evered,justina.evered@gmail.com,No,03/12/2023,16:15:00,03/12/2023,16:42:14,0:27:14,0.45,0,0
170398139642735,Arron Wolf,arron.wolf@gmail.com,Yes,03/12/2023,16:13:52,03/12/2023,17:13:22,0:59:30,0.99,18,17.85
744965498087397,Mary Zambrano,mary.zambrano@gmail.com,No,03/12/2023,15:38:03,03/12/2023,19:37:00,3:58:57,3.98,0,0
201903626695442,Justina Evered,justina.evered@gmail.com,No,03/12/2023,13:48:05,03/12/2023,14:03:20,0:15:15,0.25,0,0
230405615539197,Arron Wolf,arron.wolf@gmail.com,Yes,03/12/2023,13:16:00,03/12/2023,13:30:33,0:14:33,0.24,18,4.37
422246611341618,Justina Evered,justina.evered@gmail.com,No,03/12/2023,13:00:00,03/12/2023,13:46:36,0:46:36,0.78,0,0
351551251086911,Palmira Easom,palmira.easom@gmail.com,No,03/12/2023,12:38:41,03/12/2023,14:49:26,2:10:45,2.18,0,0
651458595327999,Mitch Morris,mitch.morris@gmail.com,No,03/12/2023,12:37:59,03/12/2023,15:54:30,3:16:31,3.28,0,0
155006244779077,Palmira Easom,palmira.easom@gmail.com,No,03/12/2023,12:13:40,03/12/2023,12:32:39,0:18:59,0.32,0,0
795581862248603,Cissy Esparza,cissy.esparza@gmail.com,No,03/12/2023,11:57:50,03/12/2023,12:42:11,0:44:21,0.74,0,0
624101882670667,Ramona Sosa,ramona.sosa@gmail.com,No,03/12/2023,10:02:23,03/12/2023,12:12:57,2:10:34,2.18,0,0
174351092976422,Ramona Sosa,ramona.sosa@gmail.com,No,03/12/2023,9:52:12,03/12/2023,10:02:14,0:10:02,0.17,0,0
771111614278535,Palmira Easom,palmira.easom@gmail.com,No,03/12/2023,8:53:19,03/12/2023,9:58:00,1:04:41,1.08,0,0
785537594421851,Cissy Esparza,cissy.esparza@gmail.com,No,02/12/2023,22:54:53,03/12/2023,0:46:03,1:51:10,1.85,0,0
805956966847382,Palmira Easom,palmira.easom@gmail.com,No,02/12/2023,19:21:55,02/12/2023,20:40:37,1:18:42,1.31,0,0
665524305596706,Trista Coy,trista.coy@gmail.com,No,02/12/2023,18:19:58,02/12/2023,18:30:34,0:10:36,0.18,0,0
183047189432315,Justina Evered,justina.evered@gmail.com,No,02/12/2023,18:05:35,02/12/2023,18:24:14,0:18:39,0.31,0,0
572965558600900,Palmira Easom,palmira.easom@gmail.com,No,02/12/2023,16:51:27,02/12/2023,18:33:36,1:42:09,1.7,0,0
239786479719507,Cissy Esparza,cissy.esparza@gmail.com,No,02/12/2023,16:50:56,02/12/2023,19:26:55,2:35:59,2.6,0,0
913380113094628,Trista Coy,trista.coy@gmail.com,No,02/12/2023,16:31:55,02/12/2023,18:15:37,1:43:42,1.73,0,0
345075744242914,Palmira Easom,palmira.easom@gmail.com,No,02/12/2023,16:01:22,02/12/2023,16:29:55,0:28:33,0.48,0,0
996317770138043,Palmira Easom,palmira.easom@gmail.com,No,02/12/2023,15:13:32,02/12/2023,15:47:43,0:34:11,0.57,0,0
327444187125479,Arron Wolf,arron.wolf@gmail.com,Yes,02/12/2023,14:07:45,02/12/2023,16:02:12,1:54:27,1.91,18,34.34
452717733608162,Trista Coy,trista.coy@gmail.com,No,02/12/2023,11:41:23,02/12/2023,12:27:49,0:46:26,0.77,0,0
236694612175803,Mitch Morris,mitch.morris@gmail.com,No,02/12/2023,11:13:41,02/12/2023,16:43:41,5:30:00,5.5,0,0
162952590729650,Cissy Esparza,cissy.esparza@gmail.com,No,02/12/2023,11:10:03,02/12/2023,15:13:56,4:03:53,4.06,0,0
154373701198767,Justina Evered,justina.evered@gmail.com,No,02/12/2023,10:13:47,02/12/2023,11:40:53,1:27:06,1.45,0,0
750841580683174,Arron Wolf,arron.wolf@gmail.com,Yes,02/12/2023,9:30:39,02/12/2023,10:32:21,1:01:42,1.03,18,18.51
934036654660755,Arron Wolf,arron.wolf@gmail.com,Yes,02/12/2023,8:48:48,02/12/2023,8:49:07,0:00:19,0.01,18,0.1
575954021494845,Trista Coy,trista.coy@gmail.com,No,02/12/2023,8:10:12,02/12/2023,11:02:36,2:52:24,2.87,0,0
757025169873904,Dora Millward,dora.millward@gmail.com,No,02/12/2023,7:22:36,02/12/2023,8:50:03,1:27:27,1.46,0,0
