FOR CLOSURE OF,SOURCE FILE,TAX ID,RECEIPT NUMBER,WORKER ID,PERIOD OF PROVISION,TAX ID - RECEIPT NUMBER,RECEIPT AMOUNT,REQUESTED AMOUNT,PROVISION CODE,WORKER ID - PERIOD OF PROVISION -  PROVISION CODE,WORKER ID - PERIOD OF PROVISION -  RECEIPT AMOUNT,SECOND PROVISION CODE,SECOND WORKER ID NUMBER,THIRD PROVISION CODE,SECOND PERIOD OF PROVISION,WORKER ID - PERIOD OF PROVISION -  RECEIPT NUMBER,WORKER ID -  RECEIPT NUMBER,RECEIPT PREFIX,RECEIPT TYPE,EMISSION TYPE,AUTHORIZATION CODE,RECEIPT EMISSION DATE,CBU 1,CBU 2
201705,21JUN_INTEGRATION_BOREAL_OSSIMRA_SHIPMENT__21JUN2017,86433392559,227,61783932135,201609,86433392559-227,"4342,68","4342,68",90,61783932135-201609-90,"61783932135-201609-4342,68",90,66714778192,90,201609,66714778192-201609-227,66714778192-227,0001,05,I,42404073793994,03/10/2016,347189557,94221411177386
201705,21JUN_INTEGRATION_BOREAL_OSSIMRA_SHIPMENT__21JUN2017,29782382414,228,75252972475,201610,29782382414-228,"4342,68","4342,68",90,75252972475-201610-90,"75252972475-201610-4342,68",90,66803431652,90,201610,66803431652-201610-228,66803431652-228,0001,05,I,42404073793994,04/11/2016,456359565,21821239027303
201705,21JUN_INTEGRATION_BOREAL_OSSIMRA_SHIPMENT__21JUN2017,14297794435,344,78015089847,201611,14297794435-344,"2895,12","2895,12",90,78015089847-201611-90,"78015089847-201611-2895,12",90,50796624246,90,201611,50796624246-201611-344,50796624246-344,0002,03,E,66517806271258,15/12/2016,375240954,51552891952333
201705,21JUN_INTEGRATION_BOREAL_OSSIMRA_SHIPMENT__21JUN2017,31293705270,221,28442521223,201611,31293705270-221,"2895,12","2895,12",90,28442521223-201611-90,"28442521223-201611-2895,12",90,89611458971,90,201611,89611458971-201611-221,89611458971-221,0002,03,E,66505804455652,15/12/2016,328109560,72765517403287
201705,21JUN_INTEGRATION_BOREAL_OSSIMRA_SHIPMENT__21JUN2017,37072115550,47,42995262043,201610,37072115550-47,"3257,04","3257,04",90,42995262043-201610-90,"42995262043-201610-3257,04",90,33668433318,90,201610,33668433318-201610-47,33668433318-47,0001,03,E,66513915076247,21/12/2016,190109335,57412173273621
201705,21JUN_INTEGRATION_BOREAL_OSSIMRA_SHIPMENT__21JUN2017,69619677625,46,53483909505,201610,69619677625-46,"3257,04","3257,04",90,53483909505-201610-90,"53483909505-201610-3257,04",90,36724977621,90,201610,36724977621-201610-46,36724977621-46,0001,03,E,66513914911330,21/12/2016,80967288,42525204877309
201705,21JUN_INTEGRATION_BOREAL_OSSIMRA_SHIPMENT__21JUN2017,20483759975,39,58271338910,201610,20483759975-39,"1899,94","1899,94",90,58271338910-201610-90,"58271338910-201610-1899,94",90,62997627328,90,201610,62997627328-201610-39,62997627328-39,0005,03,E,66526961591089,23/12/2016,376601741,70984182731277
201705,21JUN_INTEGRATION_BOREAL_OSSIMRA_SHIPMENT__21JUN2017,93039726996,510,50969938811,201610,93039726996-510,"2985,62","2985,62",90,50969938811-201610-90,"50969938811-201610-2985,62",90,11054164576,90,201610,11054164576-201610-510,11054164576-510,0002,05,E,66522957982754,23/12/2016,632035102,83587045757191
201705,21JUN_INTEGRATION_BOREAL_OSSIMRA_SHIPMENT__21JUN2017,27433547740,373,37164376570,201610,27433547740-373,"4733,21","4733,21",96,37164376570-201610-96,"37164376570-201610-4733,21",96,75275294564,96,201610,75275294564-201610-373,75275294564-373,0001,05,I,42282064532823,21/12/2016,403938096,21380933938685
201705,21JUN_INTEGRATION_BOREAL_OSSIMRA_SHIPMENT__21JUN2017,40869835621,512,54332461020,201610,40869835621-512,"3257,04","3257,04",90,54332461020-201610-90,"54332461020-201610-3257,04",90,29845266693,90,201610,29845266693-201610-512,29845266693-512,0002,05,E,66522958591819,23/12/2016,382158204,63759504715665
201705,21JUN_INTEGRATION_BOREAL_OSSIMRA_SHIPMENT__21JUN2017,79050742291,52,20995014620,201610,79050742291-52,"2171,36","2171,36",86,20995014620-201610-86,"20995014620-201610-2171,36",86,64446214322,86,201610,64446214322-201610-52,64446214322-52,0001,05,I,42384072643781,22/12/2016,126106804,52957906003004
201705,21JUN_INTEGRATION_BOREAL_OSSIMRA_SHIPMENT__21JUN2017,46091570564,554,74711992013,201610,46091570564-554,"2316,08","2316,08",90,74711992013-201610-90,"74711992013-201610-2316,08",90,80937620963,90,201610,80937620963-201610-554,80937620963-554,0002,05,I,42517082785137,21/12/2016,117626902,17848897293980
