GARDEN,SERVICE DATE,INVOICE NUMBER,PROFIT,TOTAL INV.,TOTAL COST,ASSOC COSTS + SUBS,CREW,COST OF BIZ,BUISNESS MANAGER,OWNER DRAWS,,,,,,,QB numbers
,,,,,,,,,,,,,,,,,
Grace,1/1/2023,234020,-$225.00,$500.00,$725.00,$550.00,$0.00,$50.00,$50.00,$75.00,,,,,,,
Grace,5/2/2023,234021,$413.00,"$1,500","$1,087.00",$0.00,$562.00,$150.00,$150.00,$225.00,,,,,,,
Alice,5/8/2023,234022,$667.77,"$3,050","$2,382.23",$898.73,$416.00,$305.00,$305.00,$457.50,,,,,,,
Jim,5/8/2023,234023,$62.80,"$1,900","$1,837.20",$812.20,$360.00,$190.00,$190.00,$285.00,,,,,,,
Sophia,5/8/2023,234024,$213.09,"$1,150",$936.91,$378.41,$156.00,$115.00,$115.00,$172.50,,,,,,,
Daniel,5/15/2023,234025,$73.00,$550,$477.00,$70.00,$214.50,$55.00,$55.00,$82.50,,,,,,,
Grace,5/15/2023,234024,$540.00,"$2,600","$2,060.00",$0.00,"$1,150.00",$260.00,$260.00,$390.00,,,,,,,
Olivia,5/22/2023,234026,$249.29,"$1,300","$1,050.71",$134.21,$461.50,$130.00,$130.00,$195.00,,,,,,,
Patrick,5/29/2023,234031,$37.90,$600,$562.10,$72.10,$280.00,$60.00,$60.00,$90.00,,,,,,,
Patrick,5/29/2023,234027,$441.20,"$1,750","$1,308.80",$62.80,$633.50,$175.00,$175.00,$262.50,,,,,,,
Robert,6/5/2023,234035,$44.00,"$1,200.00","$1,156.00",$320.00,$416.00,$120.00,$120.00,$180.00,,,,,,,
Alice,6/7/2023,234058,$341.10,"$2,050","$1,708.90",$96.40,$895.00,$205.00,$205.00,$307.50,,,,,,,
Robert,6/12/2023,234069,$214.50,$750,$535.50,$0.00,$273.00,$75.00,$75.00,$112.50,,,,,,,
Ryan,6/12/2023,234060,$950.00,"$3,100","$2,150.00",$100.00,$965.00,$310.00,$310.00,$465.00,,,,,,,
