Client ID,Full Name,Address,Phone,Email,Act/Desact,Bandwidth,VLAN ID,IP,IP Gateway,Leases,User,Password, MAC
13,Iri Mar,Wild 85  ,24105,user1049702@email.com,1,25Mb,10,10.10.10.1,10.10.12.217,0:22:32:3,user_irigo,pass_en13,MAC_HWTCB1
15,Ben Alb,Alte 40  ,24160,user255532@email.com,1,15Mb,10,10.10.10.1,10.10.10.233,0:2:10:27,user_benit,pass_ez15,MAC_HWTC6B
16,Ben Iso,Pueb 85  ,24331,user439715@email.com,1,25Mb,10,10.10.10.1,10.10.10.45,0:39:39:33,user_benav,pass_ez16,MAC_HWTC6B
17,Bil Gas,Pell 23  ,24190,user213059@email.com,1,25Mb,10,10.10.10.1,10.10.12.10,0:20:15:0,user_bille,pass_es17,MAC_HWTC6B
24,Mas Ric,Gral 67  ,24302,user768762@email.com,1,50Mb,10,10.10.10.1,10.10.13.244,0:33:13:45,user_massa,pass_ro24,MAC_HWTC6B
36,Jua Wal,San  63  ,24409,user668797@email.com,1,15Mb,10,10.10.10.1,10.10.12.29,0:21:55:9,user_juant,pass_uy36,MAC_HWTC6B
45,Gop Nor,Pueb 20  ,24119,user1080553@email.com,1,50Mb,10,10.10.10.1,10.10.12.100,0:55:28:26,user_gopar,pass_ar45,MAC_HWTC6B
65,Gom Emi,Bo.  84  ,24054,user1044713@email.com,1,15Mb,10,10.10.10.1,10.10.10.39,0:20:44:15,user_gomba,pass_ba65,MAC_HWTC6B
67,Bra Jos,Bo.  ra  ,24373,user1164386@email.com,1,25Mb,10,10.10.10.1,10.10.13.197,0:58:17:42,user_brama,pass_jo67,MAC_HWTC6B
72,Cor Alb,Cisn 33  ,24221,user1186891@email.com,1,50Mb,10,10.10.10.1,10.10.12.113,0:22:39:47,user_corvi,pass_no72,MAC_HWTC6B
85,Lop Bal,Sord 33  ,24083,user208235@email.com,1,15Mb,10,10.10.10.1,10.10.10.80,0:36:28:57,user_lopez,pass_ez85,MAC_HWTC6B
99,Oho Mar,Puey 15  ,24266,user907740@email.com,1,25Mb,10,10.10.10.1,10.10.13.43,0:13:51:27,user_ohole,pass_uy99,MAC_HWTCB1
107,San San,San  92  ,24298,user339053@email.com,1,50Mb,10,10.10.10.1,10.10.12.165,0:29:47:4,user_sanma,pass_n107,MAC_HWTC15
116,Arn Die,Bdo. 71  ,24228,user1085578@email.com,1,25Mb,10,10.10.10.1,10.10.13.133,0:50:47:12,user_arnai,pass_z116,MAC_HWTC6B
119,Pau Jua,Bo.  18  ,24433,user451818@email.com,1,25Mb,10,10.10.10.1,10.10.12.13,0:11:1:30,user_paulu,pass_i119,MAC_HWTC6B
120,Urd Car,Alsi 85  ,24233,user944575@email.com,1,25Mb,10,10.10.10.1,10.10.11.4,0:4:12:28,user_urdan,pass_z120,MAC_HWTC6B
151,Che Xin,C. M 40  ,24236,user1002737@email.com,1,25Mb,10,10.10.10.1,10.10.13.71,0:4:8:34,user_chen_,pass_n151,MAC_HWTCB1
154,Ver Gab,C. M 71  ,24094,user630581@email.com,1,25Mb,10,10.10.10.1,10.10.11.115,0:55:36:10,user_vera_,pass_a154,MAC_HWTC6B
157,Cou Ana,Bo.   9  ,24484,user573892@email.com,1,25Mb,10,10.10.10.1,10.10.11.31,0:22:42:49,user_couse,pass_o157,MAC_HWTC6B
161,Ord Pab,Libe 37  ,24372,user205924@email.com,1,25Mb,10,10.10.10.1,10.10.12.180,0:13:12:52,user_ordon,pass_z161,MAC_HWTC6B
168,Bau Bea,Puey 22  ,24318,user380056@email.com,1,25Mb,10,10.10.10.1,10.10.11.233,0:47:13:18,user_bauer,pass_r168,MAC_HWTC6B
170,Lom Jor,Gral 23  ,24270,user1056791@email.com,1,15Mb,10,10.10.10.1,10.10.11.150,0:33:18:33,user_lomez,pass_z170,MAC_HWTC6B
181,Car Mar,Bo.  11  ,14236,user858548@email.com,1,25Mb,10,10.10.10.1,10.10.10.202,0:35:35:47,user_carta,pass_o181,MAC_HWTC6B
188,Tor Fer,Bo.  13  ,24109,user581425@email.com,1,25Mb,10,10.10.10.1,10.10.12.249,0:41:36:28,user_torre,pass_s188,MAC_HWTCB1
189,Fio Dai,Pasa  Y  ,24460,user603756@email.com,1,25Mb,10,10.10.10.1,10.10.13.240,0:39:27:36,user_fiola,pass_a189,MAC_HWTCB1
203,Di  Ant,Sarm 24  ,24171,user491386@email.com,1,25Mb,10,10.10.10.1,10.10.11.251,0:31:46:6,user_disie,pass_i203,MAC_HWTC6B
227,Lou Car,Hip. 34  ,24181,user680067@email.com,1,25Mb,10,10.10.10.1,10.10.12.235,0:43:32:33,user_lourt,pass_u227,MAC_HWTC6B
248,Ord Roq,Case 28  ,24324,user647827@email.com,1,25Mb,10,10.10.10.1,10.10.13.239,0:32:14:34,user_ordon,pass_z248,MAC_HWTC6B
252,Nor Nor,Carm 42  ,24060,user473634@email.com,1,50Mb,10,10.10.10.1,10.10.12.243,0:25:35:12,user_norde,pass_s252,MAC_HWTCB1
254,Riz Emi,25 M 40  ,24346,user957796@email.com,1,25Mb,10,10.10.10.1,10.10.10.12,0:7:36:12,user_rizzu,pass_i254,MAC_HWTC6B
270,Mar Mon,Cons 23  ,24217,user907429@email.com,1,25Mb,10,10.10.10.1,10.10.13.33,0:45:9:54,user_marin,pass_o270,MAC_HWTC6B
273,Cab Mar,Bo.  30  ,24005,user1062675@email.com,1,25Mb,10,10.10.10.1,10.10.12.221,0:48:9:11,user_cabra,pass_l273,MAC_HWTC6B
275,Ver Ana,Sant 41  ,24173,user1135476@email.com,1,15Mb,10,10.10.10.1,10.10.12.191,0:21:23:37,user_vera_,pass_a275,MAC_HWTC6B
292,Tol Nic,Pueb 537 ,24326,user1086662@email.com,1,15Mb,10,10.10.10.1,10.10.11.12,0:30:54:33,user_toled,pass_o292,MAC_HWTC6B
