Item,Occupation,Name,Trituration Train,Description,Daily Salary,Wednesday,Thursday,Friday,Saturday,Sunday,Monday,Tuesday,Total Hours,Weekly Pay
Salary,Excavator 336,Name 1,Trituration Train 1,Night Shift,$666.67,1.00,1.00,1.00,1.00,1.00,2.00,1.00,8.00,"$5,333.33"
Overtime,Excavator 336,Name 1,Trituration Train 1,Night Shift,$100.00,2.00,2.00,2.00,6.00,6.00,2.00,2.00,22.00,"$2,200.00"
Salary,Primary operator 120,Name 2,Trituration Train 1,Night Shift,$333.34,1.00,1.00,1.00,1.00,1.00,2.00,1.00,8.00,"$2,666.72"
Overtime,Primary operator 120,Name 2,Trituration Train 1,Night Shift,$50.00,2.00,2.00,2.00,6.00,6.00,2.00,2.00,22.00,"$1,100.00"
Salary,Cone operator,Name 3,Trituration Train 1,Night Shift,$333.34,1.00,1.00,1.00,1.00,1.00,2.00,1.00,8.00,"$2,666.72"
Overtime,Cone operator,Name 3,Trituration Train 1,Night Shift,$100.00,2.00,2.00,2.00,6.00,6.00,2.00,2.00,22.00,"$2,200.00"
Salary,ASSISTANT,Name 4,Trituration Train 1,Night Shift,$250.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,5.00,"$1,250.00"
Overtime,ASSISTANT,Name 4,Trituration Train 1,Night Shift,$50.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,2.00,$100.00
Salary,950H Operator,Name 5,Trituration Train 1,Night Shift,$666.67,1.00,1.00,1.00,1.00,1.00,2.00,1.00,8.00,"$5,333.33"
Overtime,950H Operator,Name 5,Trituration Train 1,Night Shift,$100.00,2.00,2.00,2.00,6.00,6.00,2.00,2.00,22.00,"$2,200.00"
Salary,Excavator 330,Name 6,Trituration Train 2,Night Shift,$583.33,1.00,1.00,1.00,1.00,1.00,2.00,1.00,8.00,"$4,666.64"
Overtime,Excavator 330,Name 6,Trituration Train 2,Night Shift,$100.00,2.00,2.00,2.00,6.00,6.00,2.00,2.00,22.00,"$2,200.00"
Salary,Cone operator,Name 7,Trituration Train 2,Night Shift,$250.00,1.00,1.00,1.00,1.00,1.00,2.00,1.00,8.00,"$2,000.00"
Overtime,Cone operator,Name 7,Trituration Train 2,Night Shift,$50.00,2.00,2.00,2.00,6.00,6.00,2.00,2.00,22.00,"$1,100.00"
