Purchase date,Approved date,Released date,Counterpart email,Buyer document,Transaction description,Reference code,Mercadopago operation ID,Operation status,Operation status detail,Operation type,Transaction amount,Mercadopago fee,Third party marketplace fee,Shipping cost,Discount to your counterpart,Received amount,Installment,Payment type,Refunded amount,Refund operator,Claim ID,Chargeback ID,Marketplace,Online business sale number,Financing fee,Ticket number
30/11/2023 22:50,30/11/2023 22:50,18/12/2023 22:50,user9952B@email.com,,Purchase in Mundo Tecno®️,rVGGSi1oIfrAXHgQN0An4oYPZ,67923616930,approved,accredited,regular_payment,29000,-1189,0,0,0,27695,1,credit_card,0,,,,NONE,13727213776,0,
30/11/2023 22:30,30/11/2023 22:31,18/12/2023 22:31,user2627H@email.com,,Purchase in Mundo Tecno®️,rGcELwaKZLcMyPyM5NHDYdpGO,67736156561,approved,accredited,regular_payment,12500,-512.5,0,0,0,11687.5,1,credit_card,0,,,,NONE,13726803850,0,
30/11/2023 21:55,30/11/2023 21:55,18/12/2023 21:55,user2527K@email.com,,Purchase in Mundo Tecno®️,rj6nQokv6Z2NizrbV6D2KZpYK,67734334305,approved,accredited,regular_payment,6900,-282.9,0,0,0,6589.5,1,credit_card,0,,,,NONE,13725895424,0,
30/11/2023 20:52,30/11/2023 20:52,18/12/2023 20:52,user9230L@email.com,CUIT 2008514,Purchase in Mundo Tecno®️,rYa2HReSw1UvNx6KB11IF3T3G,67917017856,approved,accredited,regular_payment,23220,-952.02,0,0,0,21710.7,1,account_money,0,,,,NONE,13724097606,0,
30/11/2023 20:51,30/11/2023 20:51,18/12/2023 20:51,user9857Q@email.com,,Purchase in Mundo Tecno®️,rnNIRI8m3pW8c5yf2kggYfv12,67730339603,approved,accredited,regular_payment,29000,-1189,0,0,0,27115,6,credit_card,0,,,,NONE,13720390649,0,
30/11/2023 20:49,30/11/2023 20:49,18/12/2023 20:49,user2382J@email.com,,Purchase in Mundo Tecno®️,rIks92GLxj1WUcODmbatKqCPi,67730147733,approved,accredited,regular_payment,17000,-697,0,0,0,15980,1,account_money,0,,,,NONE,13723964950,0,
30/11/2023 20:41,30/11/2023 20:41,18/12/2023 20:41,user4387P@email.com,CUIL 2735674,Purchase in Mundo Tecno®️,rCz95i7OyiSmzjDDQqG4HsxZ2,67729764943,approved,accredited,regular_payment,19500,-799.5,0,0,0,18622.5,1,credit_card,0,,,,NONE,13720110197,0,
30/11/2023 20:39,30/11/2023 20:39,18/12/2023 20:39,user8345X@email.com,,Purchase in Mundo Tecno®️,rigLzBB5n0xOuTjvaHBjDiU5a,67729498027,approved,accredited,regular_payment,17000,-697,0,0,0,16235,1,account_money,0,,,,NONE,13720013729,0,
30/11/2023 20:09,,,user1316S@email.com,CUIT 2010811,Purchase in Mundo Tecno®️,rtQzy6QLPvlN23VqOW6ibEaHT,67727574145,pending,pending_waiting_payment,regular_payment,12900,0,0,0,0,0,1,ticket,0,,,,NONE,13722671946,0,
30/11/2023 20:01,30/11/2023 20:01,18/12/2023 20:01,user7272X@email.com,,Purchase in Mundo Tecno®️,rqxUgVyJm7e0ndZy231io0smd,67913489458,approved,accredited,regular_payment,9500,-389.5,0,0,0,8930,1,debit_card,0,,,,NONE,13718757511,0,
30/11/2023 18:47,30/11/2023 18:47,18/12/2023 18:47,user1235C@email.com,,Purchase in Mundo Tecno®️,rhz4uKELRy36aFfW95pV3mdS3,67721836141,approved,accredited,regular_payment,12500,-512.5,0,0,0,11750,1,account_money,0,,,,NONE,13716319187,0,
30/11/2023 18:24,30/11/2023 18:24,18/12/2023 18:24,user9125K@email.com,,Purchase in Mundo Tecno®️,rX11xaDbZVdXGXAbbptdz95Tn,67906752796,approved,accredited,regular_payment,6900,-282.9,0,0,0,6451.5,1,credit_card,0,,,,NONE,13715585015,0,
30/11/2023 18:17,30/11/2023 18:17,18/12/2023 18:17,user4703C@email.com,,Purchase in Mundo Tecno®️,rYhdMJaU4cG6r7oOz8wvDOSQw,67906334196,approved,accredited,regular_payment,29000,-1189,0,0,0,27260,1,account_money,0,,,,NONE,13718960798,0,
30/11/2023 17:52,30/11/2023 17:52,18/12/2023 17:52,user1121H@email.com,CUIT 2013570,Purchase in Mundo Tecno®️,rOIh526A6RkecASP9tg3XShZm,67717728097,approved,accredited,regular_payment,7500,-307.5,0,0,0,7162.5,1,credit_card,0,,,,NONE,13718180424,0,
30/11/2023 17:46,30/11/2023 17:46,18/12/2023 17:46,user2047I@email.com,,Purchase in Mundo Tecno®️,rTAqxkI663Ut5vZLZxU7mGv2h,67717363941,approved,accredited,regular_payment,19500,-799.5,0,0,0,18622.5,1,credit_card,0,,,,NONE,13718000096,0,
30/11/2023 17:44,30/11/2023 17:44,18/12/2023 17:44,user6822F@email.com,,Purchase in Mundo Tecno®️,r4u6Mw1f8RRUItTZRfW68nCNi,67904010606,approved,accredited,regular_payment,19000,-779,0,0,0,17860,3,credit_card,0,,,,NONE,13717891930,0,
30/11/2023 17:37,30/11/2023 17:37,18/12/2023 17:37,user8772L@email.com,CUIL 2011975,Purchase in Mundo Tecno®️,ryV4qaUolR8sZGERP4oB7afvU,67903401118,approved,accredited,regular_payment,19000,-779,0,0,0,18145,1,credit_card,0,,,,NONE,13714091407,0,
30/11/2023 16:58,30/11/2023 16:58,18/12/2023 16:58,user8528A@email.com,,Purchase in Mundo Tecno®️,rEkD5leQPh6cE1Yc6aXkI5ii7,67714302505,approved,accredited,regular_payment,12900,-528.9,0,0,0,12061.5,1,debit_card,0,,,,NONE,13712919707,0,
30/11/2023 16:53,30/11/2023 16:53,18/12/2023 16:53,user8765E@email.com,,Purchase in Mundo Tecno®️,r3YXBXacnW9BVCVpWmL8zIZtM,67900423164,approved,accredited,regular_payment,19000,-779,0,0,0,18145,1,debit_card,0,,,,NONE,13712770041,0,
30/11/2023 16:24,30/11/2023 16:24,18/12/2023 16:24,user5020H@email.com,,Purchase in Mundo Tecno®️,rQQfYerXzQMcE47ziSZm2cI77,67712282369,approved,accredited,regular_payment,19000,-779,0,0,0,17670,1,credit_card,0,,,,NONE,13711997447,0,
30/11/2023 16:05,,,user5022G@email.com,,Purchase in Mundo Tecno®️,rzUPGi58uvWVxG4AFfKMezhN9,67897615306,pending,pending_waiting_payment,regular_payment,12500,0,0,0,0,0,1,ticket,0,,,,NONE,13715148988,0,
30/11/2023 15:22,30/11/2023 15:22,18/12/2023 15:22,user5150E@email.com,,Purchase in Mundo Tecno®️,rTtF6yfagdsASt6spY18HAj1J,67708621735,approved,accredited,regular_payment,12500,-512.5,0,0,0,11937.5,1,debit_card,0,,,,NONE,13714066938,0,
