day,email,order,qty,gross_sales,discounts,returns,net_sales,shipping,duties,additional_fees,taxes,total_sales
11/08/2019,user226814660@email.com,55477212564,0,0,0,0,0,0,0,0,0,0
12/08/2019,user371918270@email.com,55477212567,0,0,0,0,0,0,0,0,0,0
13/08/2019,user344456745@email.com,55477212570,0,0,0,0,0,0,0,0,0,0
14/08/2019,user200262075@email.com,55477212573,0,0,0,0,0,0,0,0,0,0
15/08/2019,user336576920@email.com,55477212576,0,0,0,0,0,0,0,0,0,0
16/08/2019,user381104040@email.com,55477212579,0,0,0,0,0,0,0,0,0,0
17/08/2019,user262297070@email.com,55477212582,0,0,0,0,0,0,0,0,0,0
18/08/2019,user137702130@email.com,55477212585,0,0,0,0,0,0,0,0,0,0
19/08/2019,user138561015@email.com,55477212588,0,0,0,0,0,0,0,0,0,0
20/08/2019,user74239330@email.com,55477212591,0,0,0,0,0,0,0,0,0,0
21/08/2019,user338077180@email.com,55477212594,8,11.600.000,0,0,11.600.000,0,0,0,0,11.600.000
22/08/2019,user82624905@email.com,55477212597,7,10.465.000,0,0,10.465.000,190.000,0,0,0,10.655.000
23/08/2019,user398897920@email.com,55477212600,3,4.485.000,0,0,4.485.000,0,0,0,0,4.485.000
24/08/2019,user170143805@email.com,55477212603,7,10.465.000,0,0,10.465.000,380.000,0,0,0,10.845.000
25/08/2019,user130062610@email.com,55477212606,8,11.960.000,0,0,11.960.000,190.000,0,0,0,12.150.000
26/08/2019,user223053770@email.com,55477212609,6,8.970.000,-299.000,0,8.671.000,0,0,0,0,8.671.000
27/08/2019,user304331560@email.com,55477212612,6,8.970.000,0,0,8.970.000,190.000,0,0,0,9.160.000
28/08/2019,user320125850@email.com,55477212615,10,16.445.000,0,-1.450.000,14.995.000,0,0,0,0,14.995.000
29/08/2019,user223148010@email.com,55477212618,4,5.980.000,0,0,5.980.000,0,0,0,0,5.980.000
30/08/2019,user402902880@email.com,55477212621,5,7.475.000,0,0,7.475.000,190.000,0,0,0,7.665.000
31/08/2019,user55478365@email.com,55477212624,5,7.475.000,0,0,7.475.000,0,0,0,0,7.475.000
01/09/2019,user329309410@email.com,55477212627,1,1.495.000,0,0,1.495.000,190.000,0,0,0,1.685.000
02/09/2019,user385861575@email.com,55477212630,1,1.990.000,0,-1.495.000,495.000,0,0,0,0,495.000
03/09/2019,user70504405@email.com,55477212633,0,0,0,0,0,0,0,0,0,0
04/09/2019,user209585840@email.com,55477212636,0,0,0,0,0,0,0,0,0,0
05/09/2019,user161942125@email.com,55477212639,0,0,0,0,0,0,0,0,0,0
06/09/2019,user147215210@email.com,55477212642,0,0,0,0,0,0,0,0,0,0
07/09/2019,user149608820@email.com,55477212645,0,0,0,0,0,0,0,0,0,0
08/09/2019,user159019020@email.com,55477212648,6,10.700.000,0,0,10.700.000,0,0,0,0,10.700.000
09/09/2019,user245161440@email.com,55477212651,4,7.160.000,-179.000,0,6.981.000,190.000,0,0,0,7.171.000
10/09/2019,user162776815@email.com,55477212654,7,11.830.000,0,0,11.830.000,2.030.000,0,0,0,13.860.000
