User,Email,Client,Project,Task,Description,Billable,Start date,Start time,End date,End time,Duration,Tags,Amount ()
Steve Jones,steve.jones@gmail.com,Scale AI,Flamingo Extractors,,Hue,No,2022-03-02,9:56:25,2022-03-02,10:28:48,0:32:23,"Extractors/Complexity/Complex, Extractors/Extractor, Extractors/Platform/Big Commerce",$5.40
Steve Jones,steve.jones@gmail.com,Scale AI,Flamingo Extractors,,Riddle's Jewelry,No,2022-03-02,11:27:19,2022-03-02,11:34:20,0:07:01,"Extractors/Complexity/Complex, Extractors/Extractor, Platform/Magento",$1.17
Steve Jones,steve.jones@gmail.com,Scale AI,Flamingo Extractors,,Riddle's Jewelry,No,2022-03-02,11:48:22,2022-03-02,12:07:50,0:19:28,"Extractors/Complexity/Complex, Extractors/Extractor, Platform/Magento",$3.24
Steve Jones,steve.jones@gmail.com,Scale AI,Flamingo Extractors,,Riddle's Jewelry,No,2022-03-02,12:31:02,2022-03-02,14:13:10,1:42:08,"Extractors/Complexity/Complex, Extractors/Extractor, Platform/Magento",$17.02
Steve Jones,steve.jones@gmail.com,Scale AI,Flamingo Extractors,,Magento Variants Extractor,No,2022-03-02,14:27:44,2022-03-02,14:40:05,0:12:21,Platform/Magento,$2.06
Steve Jones,steve.jones@gmail.com,Scale AI,Flamingo Extractors,,Magento Variants Extractor,No,2022-03-02,16:54:11,2022-03-02,17:06:54,0:12:43,Platform/Magento,$2.12
Steve Jones,steve.jones@gmail.com,Scale AI,Flamingo Extractors,,Magento Variants Extractor,No,2022-03-02,17:12:52,2022-03-02,17:16:23,0:03:31,Platform/Magento,$0.59
Steve Jones,steve.jones@gmail.com,Scale AI,Flamingo Extractors,,Magento Variants Extractor,No,2022-03-02,18:06:07,2022-03-02,18:14:47,0:08:40,Platform/Magento,$1.44
Steve Jones,steve.jones@gmail.com,Scale AI,Flamingo Extractors,,Magento Variants Extractor,No,2022-03-02,18:20:11,2022-03-02,18:39:06,0:18:55,Platform/Magento,$3.15
Steve Jones,steve.jones@gmail.com,Scale AI,Flamingo Extractors,,Magento Variants Extractor,No,2022-03-02,18:48:28,2022-03-02,20:53:58,2:05:30,Platform/Magento,$20.92
Steve Jones,steve.jones@gmail.com,Scale AI,Flamingo Extractors,,Magento Variants Extractor,No,2022-03-03,8:42:48,2022-03-03,9:29:49,0:47:01,Platform/Magento,$7.84
Steve Jones,steve.jones@gmail.com,Scale AI,Flamingo Extractors,,Magento Variants Extractor,No,2022-03-03,11:32:24,2022-03-03,11:55:11,0:22:47,Platform/Magento,$3.80
Steve Jones,steve.jones@gmail.com,Scale AI,Flamingo Extractors,,Magento Variants Extractor,No,2022-03-03,12:06:01,2022-03-03,13:50:28,1:44:27,Platform/Magento,$17.41
Steve Jones,steve.jones@gmail.com,Scale AI,Flamingo Extractors,,Magento Variants Extractor,No,2022-03-03,14:53:42,2022-03-03,15:25:15,0:31:33,Platform/Magento,$5.26
Steve Jones,steve.jones@gmail.com,Scale AI,Flamingo Extractors,,Miscellaneous,No,2022-03-03,15:43:31,2022-03-03,16:59:25,1:15:54,,$12.65
Steve Jones,steve.jones@gmail.com,Scale AI,Flamingo Extractors,,Miscellaneous,No,2022-03-03,17:22:14,2022-03-03,18:43:55,1:21:41,,$13.61
