Email address,file number,Last name,Name,Learning and Continuous Improvement,Service quality ,Communication,Diligence/Promptness,Discipline,Discretion,Efficiency,Empathy,Professional ethics,Excellency,Modesty,Suitability,Equality,Innovation and creativity,Integrity and Respect,Loyalty,Leadership,Responsibility,Teamwork,Transparency and Honesty,Assessment of Individuals,Service Orientation
angela90@example.com,2851,Harrington,OSCA ARIA,4,5,3,5,4,4,5,4,3,5,4,3,5,3,5,5,4,3,5,3,5,5
jill94@example.net,7687,Shields,SANT UIEL,5,5,3,5,5,5,5,5,3,4,4,4,4,3,4,5,4,4,4,4,4,5
amandaparker@example.com,7182,Pittman,MARI ELEN,5,5,4,5,5,5,3,5,5,4,5,3,5,5,5,3,5,3,5,5,5,4
christina24@example.com,7268,Ramirez,JUAN RLOS,5,5,4,5,5,5,4,4,4,4,5,4,5,5,4,4,4,3,5,4,5,3
ctaylor@example.org,3015,Mcdowell,CESA UBEN,5,4,4,4,4,3,5,5,5,5,4,4,4,4,4,4,4,4,5,5,4,5
amy20@example.org,3016,Fields,AGUS ARIA,4,4,4,5,4,4,5,5,3,4,4,4,4,3,5,3,5,3,4,3,5,4
caitlin07@example.com,2784,Jones,JOSE ACIO,5,5,5,5,4,4,3,4,4,4,5,4,4,3,5,3,4,5,4,4,5,5
baileyrebecca@example.org,7921,Walters,MONI NICA,5,5,3,4,5,4,4,5,4,5,4,5,5,4,5,5,5,4,4,4,5,4
ayalaallison@example.net,10091,Huff,MARI CELA,5,4,3,4,5,3,4,5,4,4,5,3,5,5,4,4,5,3,5,5,5,3
joeljackson@example.com,10104,Johns,MARI EDAD,5,4,3,4,5,4,3,4,5,5,4,3,5,5,5,4,5,3,5,4,5,3
josejohnson@example.com,10105,Little,CARL ARLA,5,4,5,4,5,3,5,4,5,4,4,4,5,4,4,4,4,3,4,4,5,4
candice83@example.org,7759,Johnson,VIRG INIA,4,4,4,5,4,5,3,5,4,4,5,4,4,4,4,3,4,3,5,3,4,3
jkemp@example.net,7243,Hinton,SEBA TIAN,5,5,4,4,5,5,5,5,3,4,5,5,4,4,4,3,5,5,4,5,4,5
qlivingston@example.net,6627,Yang,MARI AGRO,4,4,3,5,4,4,4,4,4,5,5,3,5,4,5,5,4,3,4,4,5,5
omorales@example.org,10313,Johnson,AGUS TINA,5,4,3,4,4,5,4,5,3,4,4,3,5,4,4,3,4,4,5,3,4,3
collinscatherine@example.net,10194,Silva,MERC EDES,5,5,5,4,5,3,4,4,4,4,5,4,4,3,5,3,5,5,5,5,5,5
campbellmorgan@example.org,10193,Harris,CECI EDAD,5,5,5,4,5,4,3,4,4,4,5,5,5,4,5,3,4,3,5,4,4,4
ryanrebecca@example.net,7829,Roberson,PABL ABLO,5,4,4,4,4,3,5,5,4,4,4,3,5,4,4,4,4,4,4,3,5,4
