Date,third-party name,Taxed,VAT tax,VAT Non-Registered Responsible Parties tax,exempt,amount,Invoice Type,Branch,Invoice Number,TaxIdNr
2023-02-01 00:00:00,ATANrZTS.C.A,448800,94248,0,0,543048,FCE A,8,8,43-7563060-7
2023-02-01 00:00:00,VETERIYUrIA SUR SRL,2239.67,470.33,0,0,2710,FCV B,10,6115,39-0194148-5
2023-02-01 00:00:00,NICOLA AGROKgY,13574.66,1425.34,0,0,15000,FCV B,10,6116,66-2052200-5
2023-02-01 00:00:00,BARLASI7ADSN SA,13574.66,1425.34,0,0,15000,FCV B,10,6117,17-4281286-2
2023-02-01 00:00:00,NICOLA AGROKgY,24793.39,5206.61,0,0,30000,FCV B,10,6118,66-2052200-5
2023-02-01 00:00:00,BULACICt0MA SA,743.8,156.2,0,0,900,FCV B,10,6119,41-9180006-7
2023-02-01 00:00:00,MOvwoGUT LM SA,41322.31,8677.69,0,0,50000,FCV B,10,6120,81-5399050-4
2023-02-01 00:00:00,INSUMOS Y ACOPIOS DEL SURHZXA.,15139.18,1850.82,0,0,16990,FCV B,10,6121,41-6142131-6
2023-02-01 00:00:00,INSUMOS Y ACOPIOS DEL SURHZXA.,7113.98,996.02,0,0,8110,FCV B,10,6122,41-6142131-6
2023-02-01 00:00:00,INSUMOS Y ACOPIOS DEL SURHZXA.,27149.32,2850.68,0,0,30000,FCV B,10,6123,41-6142131-6
2023-02-01 00:00:00,MILESBGe SA,37756.2,7928.8,0,0,45685,FCV B,10,6124,37-5643146-4
2023-02-01 00:00:00,MILESBGe SA,37756.2,7928.8,0,0,45685,FCV B,10,6125,37-5643146-4
2023-02-02 00:00:00,MOqARDI JH SA,13574.66,1425.34,0,0,15000,FCV B,10,6126,80-8454541-3
2023-02-02 00:00:00,ISNARDI TbbA,13574.66,1425.34,0,0,15000,FCV B,10,6127,77-2113032-4
2023-02-02 00:00:00,MOqARDI JH SA,24793.39,5206.61,0,0,30000,FCV B,10,6128,80-8454541-3
2023-02-02 00:00:00,ISNARDI TbbA,8141.94,1438.06,0,0,9580,FCV B,10,6129,77-2113032-4
2023-02-02 00:00:00,m9UFA JR SA,1842.97,387.03,0,0,2230,FCV B,10,6130,62-3702542-9
2023-02-02 00:00:00,PGv0A MANSA F.I.A,16497.74,1732.26,0,0,18230,FCV B,10,6131,34-2780957-5
2023-02-02 00:00:00,LNJ2 PULMARI SAS,13782.81,1447.19,0,0,15230,FCV B,10,6132,92-9173556-5
2023-02-02 00:00:00,SIBONA RjN9A,942.15,197.85,0,0,1140,FCV B,10,6133,27-6238670-1
2023-02-02 00:00:00,SIBONA RjN9A,8471.07,1778.93,0,0,10250,FCV B,10,6134,27-6238670-1
2023-02-02 00:00:00,VckRALES DE ALEJANDRO S.A,1074.38,225.62,0,0,1300,FCV B,10,6135,76-1221128-7
2023-02-02 00:00:00,UNISURCO2LjA,41322.31,8677.69,0,0,50000,FCV B,10,6136,43-7017947-4
2023-02-02 00:00:00,SIBONA RjN9A,16528.93,3471.07,0,0,20000,FCV B,10,6137,27-6238670-1
2023-02-02 00:00:00,UNISURCO2LjA,36081.45,3788.55,0,0,39870,FCV B,10,6138,43-7017947-4
2023-02-02 00:00:00,SIBONA RjN9A,32950.41,6919.59,0,0,39870,FCV B,10,6139,27-6238670-1
2023-02-02 00:00:00,S8bLAN MB SA,124058.83,26052.35,0,0,150111.18,NDDCA,3,862,95-2319656-4
2023-02-03 00:00:00,JULIAN ABC8j,3768.6,791.4,0,0,4560,FCV B,10,6140,84-7546277-3
2023-02-03 00:00:00,PECqLuCH GIT SA,13574.66,1425.34,0,0,15000,FCV B,10,6141,54-2225978-0
2023-02-03 00:00:00,PECqLuCH GIT SA,13574.66,1425.34,0,0,15000,FCV B,10,6142,54-2225978-0
2023-02-03 00:00:00,FURLAN VHdhL,41322.31,8677.69,0,0,50000,FCV B,10,6143,45-7658949-5
2023-02-03 00:00:00,CxcpMATORI HR SA,22595.05,4744.95,0,0,27340,FCV B,10,6144,45-0878971-5
2023-02-03 00:00:00,ANGELLnpDM SA,13574.66,1425.34,0,0,15000,FCV B,10,6145,15-2740618-0
2023-02-03 00:00:00,k2WLTIERI AA SA,6971.2,798.8,0,0,7770,FCV B,10,6146,41-0277025-0
2023-02-03 00:00:00,PIERvDv SR SA,1619.83,340.17,0,0,1960,FCV B,10,6147,79-5550858-7
2023-02-03 00:00:00,DALMASSO AheBA,13574.66,1425.34,0,0,15000,FCV B,10,6148,41-7924126-1
2023-02-03 00:00:00,SAN MIGUEL 5B2 RIO S.A,41322.31,8677.69,0,0,50000,FCV B,10,6149,61-6477777-4
2023-02-03 00:00:00,FURLAN VHdhL,26095.04,5479.96,0,0,31575,FCV B,10,6150,45-7658949-5
2023-02-03 00:00:00,ANGELLnpDM SA,26095.04,5479.96,0,0,31575,FCV B,10,6151,15-2740618-0
2023-02-04 00:00:00,k2WLTIERI AA SA,686273,144117.33,0,0,830390.33,FCV A,5,461,41-0277025-0
2023-02-04 00:00:00,DALMoVjO AO  SA,264.46,55.54,0,0,320,FCV B,10,6152,42-0587739-1
2023-02-04 00:00:00,BARLASI7ADSN SA,9049.77,950.23,0,0,10000,FCV B,10,6153,17-4281286-2
2023-02-04 00:00:00,ARSEBC0SA,13466.07,1833.93,0,0,15300,FCV B,10,6154,91-6576195-1
2023-02-04 00:00:00,LUCERO 4xlSA,13574.66,1425.34,0,0,15000,FCV B,10,6155,21-5681444-0
