N_SDS,BILL_NUMBER,N_DOC,ACCOUNT_N,MAIL,DATE,BUSINESS,AGENT,TLMK_DIST_PROP,STATUS_PROCESS_DIG,TYPE,ACTIVATION_TYPE,SRF_SRS_ID,USER,ENTITY,CHANNEL,CELL,SRY_BUSINESS,SRY_PORTIN_NUMBER,SRY_FORM_NUMBER,SRY_CREATION_DATE,SRF_ORH_ID,PORT_STATUS,MAIL_CONDITION,TPO_VALIDATION,TPO_INTEG_STL,TPO_ACEPT,TPO_SHIPPING_MAIL,TPO_TOTAL,STATUS,PROCEDURE_TYPE,Q
29350168,9993840697,14361,1599712,29350168.14361@example.com,3/27/23 18:08,POSTPAYMENT,,IN PERSON,,BEGIN_DIGITAL,DIGITAL,O,CTI8288,408051,CAC,CAC CONSTITUCION                                                    ,POSTPAYMENT,08571582PNA,29350168SEC,3/27/23 18:08,28052803,CANCELLED,VALID MAIL,,,,,,,,Q1
29350168,9993840700,14361,1599712,29350168.14361@example.com,3/27/23 18:08,POSTPAYMENT,,IN PERSON,,BEGIN_DIGITAL,DIGITAL,O,CTI8288,408051,CAC,CAC CONSTITUCION                                                    ,POSTPAYMENT,08571582PNA,29350168SEC,3/27/23 18:08,28052803,CANCELLED,VALID MAIL,,,,,,,,Q1
29350168,9993840697,14361,1599712,29350168.14361@example.com,3/27/23 18:08,POSTPAYMENT,,IN PERSON,,BEGIN_DIGITAL,DIGITAL,O,CTI8288,408051,CAC,CAC CONSTITUCION                                                    ,POSTPAYMENT,08571582PNA,29350168SEC,3/27/23 18:08,28052803,CANCELLED,VALID MAIL,,,,,,,,Q1
29350168,9993840700,14361,1599712,29350168.14361@example.com,3/27/23 18:08,POSTPAYMENT,,IN PERSON,,BEGIN_DIGITAL,DIGITAL,O,CTI8288,408051,CAC,CAC CONSTITUCION                                                    ,POSTPAYMENT,08571582PNA,29350168SEC,3/27/23 18:08,28052803,CANCELLED,VALID MAIL,,,,,,,,Q1
17089246,9993578527,36255,1599712,17089246.36255@example.com,3/7/23 15:45,PREPAYMENT,,IN PERSON,initial-copy_link,BEGIN_DIGITAL,DIGITAL,O,CTI22301,647712,CAC,CAC CONSTITUCION                                                    ,PREPAYMENT,08511095PNA,17089246SPP,3/7/23 15:45,27920492,REJECTED,VALID MAIL,,,,,,initial,spn,Q1
29261565,9993596889,24302,1599712,29261565.24302@example.com,3/8/23 12:02,POSTPAYMENT,,IN PERSON,initial-IDOC_DOCUMENT_OPENED,BEGIN_DIGITAL,DIGITAL,O,CTI23073,54424,CAC,CAC CONSTITUCION                                                    ,POSTPAYMENT,08514067PNA,29261565SEC,3/8/23 12:02,27927176,ACTIVATED NRO PORTED,VALID MAIL,,,,,,initial,spn,Q1
29239167,9993527547,21686,1599712,29239167.21686@example.com,3/3/23 12:31,POSTPAYMENT,,IN PERSON,,END_DIGITAL,DIGITAL,O,CTI23101,74866,CAC,CAC OLIVOS                                                          ,POSTPAYMENT,08499473PNA,29239167SEC,3/3/23 12:31,27886300,ACTIVATED NRO PORTED,VALID MAIL,387,80,63,10565,11095,sent,ppc,Q1
29239167,9993527544,21686,1599712,29239167.21686@example.com,3/3/23 12:31,POSTPAYMENT,,IN PERSON,,END_DIGITAL,DIGITAL,O,CTI23101,74866,CAC,CAC OLIVOS                                                          ,POSTPAYMENT,08499473PNA,29239167SEC,3/3/23 12:31,27886300,ACTIVATED NRO PORTED,VALID MAIL,387,80,63,10565,11095,sent,ppc,Q1
29239167,9993527547,21686,1599712,29239167.21686@example.com,3/3/23 12:31,POSTPAYMENT,,IN PERSON,,END_DIGITAL,DIGITAL,O,CTI23101,74866,CAC,CAC OLIVOS                                                          ,POSTPAYMENT,08499473PNA,29239167SEC,3/3/23 12:31,27886300,ACTIVATED NRO PORTED,VALID MAIL,387,80,63,10565,11095,sent,ppc,Q1
29239167,9993527544,21686,1599712,29239167.21686@example.com,3/3/23 12:31,POSTPAYMENT,,IN PERSON,,END_DIGITAL,DIGITAL,O,CTI23101,74866,CAC,CAC OLIVOS                                                          ,POSTPAYMENT,08499473PNA,29239167SEC,3/3/23 12:31,27886300,ACTIVATED NRO PORTED,VALID MAIL,387,80,63,10565,11095,sent,ppc,Q1
